Station;x;y;Label;y1
AHP - Capital Place;106.820;-6.232;S1;-6.238
Angkasa-Kemayoran;106.843;-6.156;S2;-6.162
Gading Harmony;106.900;-6.166;S3;-6.172
Jakarta GBK;106.803;-6.215;S4;-6.221
Jimbaran 2;106.857;-6.120;S5;-6.126
Kemayoran;106.846;-6.164;S6;-6.170
Pantai Mutiara;106.796;-6.110;S7;-6.116
RespoKare Mask - Wisma 76;106.798;-6.191;S8;-6.197
Simprug THL Area;106.794;-6.228;S9;-6.234
US Embassy in Central Jakarta;106.834;-6.183;S10;-6.189
Wisma Barito Pacific;106.798;-6.197;S11;-6.203
Wisma Korindo;106.844;-6.244;S12;-6.250
Wisma Matahari Power;106.784;-6.209;S13;-6.215
