"","Station","Time","ID","Time1","Day","Month","Year","PM2.5","Time2","mean.R1","lo.R1","up.R1","TimeLabel"
"1","AHP - Capital Place (S1)","2022-01-01T00:00:00.000Z",1,"2022-01-01T00:00:00.000Z",1,1,2022,12.29,"2022-01-01T00:00:00.000Z",36.0860786283492,32.31757991998,39.8542895503761,2022-01-01
"2","AHP - Capital Place (S1)","2022-01-02T00:00:00.000Z",1,"2022-01-02T00:00:00.000Z",2,1,2022,20.3025,"2022-01-02T00:00:00.000Z",35.7820594376196,31.7298172509377,39.8344493652564,2022-01-02
"3","AHP - Capital Place (S1)","2022-01-03T00:00:00.000Z",1,"2022-01-03T00:00:00.000Z",3,1,2022,29.3833,"2022-01-03T00:00:00.000Z",40.4565226735354,36.353435588026,44.5608573414058,2022-01-03
"4","AHP - Capital Place (S1)","2022-01-04T00:00:00.000Z",1,"2022-01-04T00:00:00.000Z",4,1,2022,73.2529,"2022-01-04T00:00:00.000Z",44.4589544998196,40.3125519691814,48.6078943980659,2022-01-04
"5","AHP - Capital Place (S1)","2022-01-05T00:00:00.000Z",1,"2022-01-05T00:00:00.000Z",5,1,2022,80.1838,"2022-01-05T00:00:00.000Z",45.0856490539158,40.8979608582309,49.2763814805804,2022-01-05
"6","AHP - Capital Place (S1)","2022-01-06T00:00:00.000Z",1,"2022-01-06T00:00:00.000Z",6,1,2022,58.2111,"2022-01-06T00:00:00.000Z",41.7836159808458,37.5688710819379,46.0014161918592,2022-01-06
"7","AHP - Capital Place (S1)","2022-01-07T00:00:00.000Z",1,"2022-01-07T00:00:00.000Z",7,1,2022,27.1304,"2022-01-07T00:00:00.000Z",38.6789100709035,34.4289978464576,42.9317243467485,2022-01-07
"8","AHP - Capital Place (S1)","2022-01-08T00:00:00.000Z",1,"2022-01-08T00:00:00.000Z",8,1,2022,42.0279,"2022-01-08T00:00:00.000Z",37.7069832261227,33.4838290293259,41.9323385426652,2022-01-08
"9","AHP - Capital Place (S1)","2022-01-09T00:00:00.000Z",1,"2022-01-09T00:00:00.000Z",9,1,2022,26.7021,"2022-01-09T00:00:00.000Z",34.5679965919437,30.3458306817413,38.7916378354403,2022-01-09
"10","AHP - Capital Place (S1)","2022-01-10T00:00:00.000Z",1,"2022-01-10T00:00:00.000Z",10,1,2022,22.5759,"2022-01-10T00:00:00.000Z",34.8103210711285,30.5924043260399,39.0291517266256,2022-01-10
"11","AHP - Capital Place (S1)","2022-01-11T00:00:00.000Z",1,"2022-01-11T00:00:00.000Z",11,1,2022,24.8096,"2022-01-11T00:00:00.000Z",35.5757336654262,31.3278666959685,39.8242130008145,2022-01-11
"12","AHP - Capital Place (S1)","2022-01-12T00:00:00.000Z",1,"2022-01-12T00:00:00.000Z",12,1,2022,22.3438,"2022-01-12T00:00:00.000Z",32.8679262187243,28.630637498729,37.1052936415566,2022-01-12
"13","AHP - Capital Place (S1)","2022-01-13T00:00:00.000Z",1,"2022-01-13T00:00:00.000Z",13,1,2022,25.7967,"2022-01-13T00:00:00.000Z",32.2366735387584,27.9765630355267,36.4965161506057,2022-01-13
"14","AHP - Capital Place (S1)","2022-01-14T00:00:00.000Z",1,"2022-01-14T00:00:00.000Z",14,1,2022,31.7295,"2022-01-14T00:00:00.000Z",35.2139470078252,30.9771509087315,39.4504526938358,2022-01-14
"15","AHP - Capital Place (S1)","2022-01-15T00:00:00.000Z",1,"2022-01-15T00:00:00.000Z",15,1,2022,61.9821,"2022-01-15T00:00:00.000Z",39.8538857877933,35.5857151509413,44.1217262133966,2022-01-15
"16","AHP - Capital Place (S1)","2022-01-16T00:00:00.000Z",1,"2022-01-16T00:00:00.000Z",16,1,2022,44.8218,"2022-01-16T00:00:00.000Z",35.4385935497532,31.1549525280363,39.7216267909982,2022-01-16
"17","AHP - Capital Place (S1)","2022-01-17T00:00:00.000Z",1,"2022-01-17T00:00:00.000Z",17,1,2022,38.9625,"2022-01-17T00:00:00.000Z",31.2284084593074,26.9094828200191,35.5460971236447,2022-01-17
"18","AHP - Capital Place (S1)","2022-01-18T00:00:00.000Z",1,"2022-01-18T00:00:00.000Z",18,1,2022,27.9483,"2022-01-18T00:00:00.000Z",34.7110784844768,30.3659244291475,39.0544492766656,2022-01-18
"19","AHP - Capital Place (S1)","2022-01-19T00:00:00.000Z",1,"2022-01-19T00:00:00.000Z",19,1,2022,27.4621,"2022-01-19T00:00:00.000Z",36.7712259459858,32.4122352135376,41.1280061218422,2022-01-19
"20","AHP - Capital Place (S1)","2022-01-20T00:00:00.000Z",1,"2022-01-20T00:00:00.000Z",20,1,2022,14.1633,"2022-01-20T00:00:00.000Z",29.8200333927673,25.4435827717386,34.1936137431502,2022-01-20
"21","AHP - Capital Place (S1)","2022-01-21T00:00:00.000Z",1,"2022-01-21T00:00:00.000Z",21,1,2022,22.4183,"2022-01-21T00:00:00.000Z",30.8648148614558,26.4774003615906,35.2489464113172,2022-01-21
"22","AHP - Capital Place (S1)","2022-01-22T00:00:00.000Z",1,"2022-01-22T00:00:00.000Z",22,1,2022,21.5992,"2022-01-22T00:00:00.000Z",31.9588025308348,27.5452646848654,36.3690466828806,2022-01-22
"23","AHP - Capital Place (S1)","2022-01-23T00:00:00.000Z",1,"2022-01-23T00:00:00.000Z",23,1,2022,19.2283,"2022-01-23T00:00:00.000Z",30.563973375894,26.1654571544688,34.9595786562526,2022-01-23
"24","AHP - Capital Place (S1)","2022-01-24T00:00:00.000Z",1,"2022-01-24T00:00:00.000Z",24,1,2022,12.5058,"2022-01-24T00:00:00.000Z",28.2109900776816,23.8683389722309,32.5515609871512,2022-01-24
"25","AHP - Capital Place (S1)","2022-01-25T00:00:00.000Z",1,"2022-01-25T00:00:00.000Z",25,1,2022,21.6171,"2022-01-25T00:00:00.000Z",32.389644986188,28.0726217776328,36.7057503076347,2022-01-25
"26","AHP - Capital Place (S1)","2022-01-26T00:00:00.000Z",1,"2022-01-26T00:00:00.000Z",26,1,2022,21.9704,"2022-01-26T00:00:00.000Z",36.6295353351919,32.375192823851,40.8840878063691,2022-01-26
"27","AHP - Capital Place (S1)","2022-01-27T00:00:00.000Z",1,"2022-01-27T00:00:00.000Z",27,1,2022,25.4504,"2022-01-27T00:00:00.000Z",39.6598064168532,35.4257756188404,43.894761043794,2022-01-27
"28","AHP - Capital Place (S1)","2022-01-28T00:00:00.000Z",1,"2022-01-28T00:00:00.000Z",28,1,2022,37.2579,"2022-01-28T00:00:00.000Z",38.2956555152646,34.0783912982968,42.5144328555761,2022-01-28
"29","AHP - Capital Place (S1)","2022-01-29T00:00:00.000Z",1,"2022-01-29T00:00:00.000Z",29,1,2022,62.0642,"2022-01-29T00:00:00.000Z",40.2110178713777,36.0075955140487,44.4163382976934,2022-01-29
"30","AHP - Capital Place (S1)","2022-01-30T00:00:00.000Z",1,"2022-01-30T00:00:00.000Z",30,1,2022,87.505,"2022-01-30T00:00:00.000Z",38.9330441169674,34.7076541396055,43.1599630019132,2022-01-30
"31","AHP - Capital Place (S1)","2022-01-31T00:00:00.000Z",1,"2022-01-31T00:00:00.000Z",31,1,2022,26.8025,"2022-01-31T00:00:00.000Z",42.0916641903833,37.8839895220811,46.3002734861912,2022-01-31
"32","AHP - Capital Place (S1)","2022-02-01T00:00:00.000Z",1,"2022-02-01T00:00:00.000Z",1,2,2022,44.263,"2022-02-01T00:00:00.000Z",44.478113587681,40.2871924858266,48.6693391895708,2022-02-01
"33","AHP - Capital Place (S1)","2022-02-02T00:00:00.000Z",1,"2022-02-02T00:00:00.000Z",2,2,2022,33.2104,"2022-02-02T00:00:00.000Z",43.7956120075997,39.6045099315183,47.9860404163208,2022-02-02
"34","AHP - Capital Place (S1)","2022-02-03T00:00:00.000Z",1,"2022-02-03T00:00:00.000Z",3,2,2022,22.6192,"2022-02-03T00:00:00.000Z",39.7442351015457,35.5443355495279,43.942577276279,2022-02-03
"35","AHP - Capital Place (S1)","2022-02-04T00:00:00.000Z",1,"2022-02-04T00:00:00.000Z",4,2,2022,33.495,"2022-02-04T00:00:00.000Z",36.5295503747973,32.3191499690985,40.7379533015168,2022-02-04
"36","AHP - Capital Place (S1)","2022-02-05T00:00:00.000Z",1,"2022-02-05T00:00:00.000Z",5,2,2022,19.3213,"2022-02-05T00:00:00.000Z",36.0478857414118,31.8345400269943,40.2588253389195,2022-02-05
"37","AHP - Capital Place (S1)","2022-02-06T00:00:00.000Z",1,"2022-02-06T00:00:00.000Z",6,2,2022,15.1575,"2022-02-06T00:00:00.000Z",33.9757840509098,29.7575694658443,38.1913796904109,2022-02-06
