x;y;Density;Altitude
106.7242593;-6.138078259;22924.65127;6
106.7346381;-6.141250754;22669.10299;4
106.7187397;-6.171579045;16641.62437;7
106.751867;-6.142163064;30499.57347;3
106.7587797;-6.152867786;14586.81358;5
106.7363768;-6.16289954;19734.087;5
106.7941187;-6.161764548;16829.68648;5
106.7855984;-6.159057647;25372.04956;5
106.7870748;-6.148904226;32609.87483;4
106.7883915;-6.179478056;17445.44941;4
106.7831363;-6.172898047;15429.02066;5
106.7962469;-6.171855935;19217.69251;6
106.7757931;-6.154865462;22044.09091;5
106.6998033;-6.150823625;15892.829;7
106.6996991;-6.101459525;14014.93055;4
106.7031305;-6.13354951;10832.37194;7
106.7027608;-6.165929191;15151.17057;7
106.7113914;-6.1162763;21347.72192;4
106.7737927;-6.175969853;19114.21189;6
106.7721922;-6.19528539;18265.47474;15
106.7600954;-6.181910586;17559.32055;9
106.7611296;-6.168331619;17927.44139;6
106.7685015;-6.209655303;19522.44762;19
106.7719315;-6.220722353;30123.02397;18
106.777589;-6.20914698;30860.65313;20
106.7386324;-6.219132031;10541.67524;18
106.7393227;-6.186204957;9264.573369;8
106.7425262;-6.172306635;18748.74889;5
106.733579;-6.209346063;14427.85714;14
106.7384642;-6.196991181;12594.71447;8
106.7554139;-6.207489894;11593.77543;11
106.8035184;-6.178752921;41131.27854;8
106.7913558;-6.189910751;18683.5503;8
106.8033295;-6.187356596;46820.62858;11
106.8036433;-6.18354191;49900.91224;11
106.789417;-6.201051303;33541.06798;13
106.8013333;-6.194047416;21112.70786;10
106.8131614;-6.14499906;24106.38298;6
106.8142475;-6.151165455;67392.9471;5
106.8146539;-6.157186587;43250.40857;5
106.8182317;-6.144785511;17941.29159;6
106.8216139;-6.156300958;33563.31582;7
106.8157729;-6.137096473;13548.18588;7
106.8244016;-6.152933642;25497.63733;7
106.8230583;-6.146210723;4237.256472;6
106.7956918;-6.145555897;46651.24052;6
106.8049609;-6.159042242;50941.69096;6
106.8049019;-6.154328797;60214.81481;5
106.7976979;-6.151889764;66792.6234;5
106.8036949;-6.144964244;55866.98337;6
