"","PopDensity","x","y"
"134",17981.4448785772,709200,-704000
"135",16890.9731419303,710120,-704000
"195",14061.75117115,699080,-703080
"196",15612.4389876671,7e+05,-703080
"204",18634.2039393179,707360,-703080
"205",18295.3678607705,708280,-703080
"206",17342.9792291824,709200,-703080
"207",15315.3356248454,710120,-703080
"208",10228.825871476,711040,-703080
"267",14644.9027769872,699080,-702160
"268",15810.7701435462,7e+05,-702160
"269",15902.7046128362,700920,-702160
"270",10889.9987294017,701840,-702160
"271",17051.1681828228,702760,-702160
"274",18783.6207520059,705520,-702160
"275",18131.2600501105,706440,-702160
"276",18487.646434473,707360,-702160
"277",17972.5315651554,708280,-702160
"278",16749.6878272513,709200,-702160
"279",15624.6145134418,710120,-702160
"280",12852.9422077197,711040,-702160
"340",15781.8873811897,7e+05,-701240
"341",16822.4261992163,700920,-701240
"342",16668.0514664,701840,-701240
"343",18753.9782917392,702760,-701240
"344",19616.9794100754,703680,-701240
"346",18926.7943249311,705520,-701240
"347",18258.007983739,706440,-701240
"348",18529.8193753993,707360,-701240
"349",17394.9157826061,708280,-701240
"350",16628.394263786,709200,-701240
"351",15204.587360593,710120,-701240
"352",13034.3308121232,711040,-701240
"353",14501.3018405936,711960,-701240
"412",15760.2668754547,7e+05,-700320
"413",17464.0992534404,700920,-700320
"414",18899.3797408736,701840,-700320
"415",21499.6552944751,702760,-700320
"416",20998.5192212082,703680,-700320
"417",19206.1990012544,704600,-700320
"418",19632.7950696804,705520,-700320
"419",19612.3801175475,706440,-700320
"420",19397.4317422556,707360,-700320
"421",18012.6843889806,708280,-700320
"422",13194.4822072787,709200,-700320
"423",13488.5880813947,710120,-700320
"424",6351.09309075334,711040,-700320
"425",13059.160338496,711960,-700320
"484",18053.743170625,7e+05,-699400
"485",16897.7619227477,700920,-699400
"486",18717.0892404728,701840,-699400
"487",24578.7165632773,702760,-699400
"488",22448.3739460259,703680,-699400
"489",17621.2250744904,704600,-699400
"490",21259.2032294628,705520,-699400
"491",20404.7841629403,706440,-699400
"492",20309.6261608702,707360,-699400
"493",18749.8851315361,708280,-699400
"494",15578.6498582892,709200,-699400
"495",14692.3276854615,710120,-699400
"496",13847.4469067278,711040,-699400
"497",14500.7352891502,711960,-699400
"553",18105.7976916047,697240,-698480
"557",18643.0211141604,700920,-698480
"558",20042.0376874019,701840,-698480
"559",21562.8979585486,702760,-698480
"560",20282.5849108948,703680,-698480
"561",19355.7107170184,704600,-698480
"562",20336.1590075129,705520,-698480
"563",21466.1267002656,706440,-698480
"564",20465.4179664716,707360,-698480
"565",18642.5964266166,708280,-698480
"566",15378.2403562872,709200,-698480
"567",13382.9931505066,710120,-698480
"568",12962.6582234103,711040,-698480
"569",10461.0969258069,711960,-698480
"624",16425.2404145783,696320,-697560
"625",16226.6338648403,697240,-697560
"626",16527.7916777534,698160,-697560
"627",15580.8916959332,699080,-697560
"628",17676.2237832862,7e+05,-697560
"629",17863.2957379465,700920,-697560
"630",19601.8603914746,701840,-697560
"631",22818.6659083968,702760,-697560
"632",18771.2577969885,703680,-697560
"633",15190.2061211409,704600,-697560
"634",19311.4698270722,705520,-697560
